Date,open,high,low,close,volume,logret_1d,logret_3d,logret_5d,realized_vol_10,bb_pos,rsi_14,macd,macd_sig,macd_diff,log_vol,vol_z_20,sma_diff,target
2012-02-21,15.21660326,15.45586395,15.13374741,15.45586395,605595200,0.02503685,0.03393873,0.02408114,0.01577460,0.77854377,84.39614427,0.63519385,0.56678502,0.06840883,20.22172233,0.95157048,0.04834727,1
2012-02-22,15.40272633,15.47507449,15.28234487,15.40152550,483302400,-0.00352191,0.02133597,0.00700281,0.01637776,0.70159525,82.91094428,0.64064475,0.58155696,0.05908779,19.99615310,0.31020136,0.04743822,1
2012-02-23,15.46276344,15.54531946,15.29525134,15.50208950,568027600,0.00650826,0.02802319,0.03692507,0.01616746,0.69113649,84.55735086,0.64563680,0.59437293,0.05126387,20.15768057,0.83299747,0.04810118,1
2012-02-24,15.60055048,15.69751485,15.56963026,15.68280506,415072000,0.01159007,0.01457642,0.03943430,0.01349380,0.73205681,84.80753068,0.65660633,0.60681961,0.04978672,19.84396256,-0.15950482,0.04572690,1
2012-02-27,15.64978802,15.86563321,15.49878777,15.78337860,547582000,0.00639251,0.02449084,0.04600577,0.01336697,0.72387690,84.64740712,0.66574095,0.61860388,0.04713707,20.12102278,0.63767675,0.04394950,1
2012-02-28,15.84942640,16.07307625,15.78608368,16.07307625,600387200,0.01818819,0.03617077,0.03915711,0.01334245,0.81679073,85.43011809,0.68842070,0.63256724,0.05585346,20.21308534,0.83804367,0.04188154,0
2012-02-29,16.25769622,16.43931850,16.08177830,16.28411293,952011200,0.01304438,0.03762507,0.05572340,0.01331255,0.84680456,85.30179690,0.71517932,0.64908966,0.06608966,20.67408736,2.40455828,0.03951001,0
2012-03-01,16.45612729,16.45732973,16.17393814,16.34505272,683270000,0.00373530,0.03496787,0.05295044,0.00847513,0.79889742,82.60051334,0.73285515,0.66584276,0.06701239,20.34240065,0.93190571,0.03969248,0
2012-03-02,16.33814478,16.41499481,16.28650901,16.36636353,431712400,0.00130296,0.01808263,0.04266333,0.00881567,0.74836289,82.70164058,0.74005212,0.68068463,0.05936749,19.88327018,-0.98831087,0.03893287,0
2012-03-05,16.37357766,16.43541814,15.79058549,16.00553131,809124400,-0.02229385,-0.01725560,0.01397697,0.01295564,0.47904846,68.63891751,0.70847279,0.68624226,0.02223053,20.51146323,1.62094038,0.03753521,1
2012-03-06,15.72033031,16.02143128,15.49698039,15.91846275,810238800,-0.00545475,-0.02644565,-0.00966597,0.01148124,0.38560992,63.32988861,0.66871175,0.68273616,-0.01402441,20.51283958,1.21304276,0.03383896,1
2012-03-07,16.11480206,16.14422165,15.70952994,15.93137932,798520800,0.00081109,-0.02693752,-0.02189926,0.01129006,0.36498123,74.76753141,0.63096967,0.67238286,-0.04141319,20.49827157,1.02009676,0.03106551,1
2012-03-08,16.05145157,16.30061856,15.97430013,16.27059937,516457200,0.02106905,0.01642539,-0.00456551,0.01260085,0.62589307,77.09073318,0.62126941,0.66216017,-0.04089076,20.06250298,-0.63089416,0.02951318,1
2012-03-09,16.33724982,16.44322127,16.30422773,16.36606979,418919200,0.00585052,0.02773066,-0.00001795,0.01238807,0.65360393,78.13352998,0.61420538,0.65256921,-0.03836383,19.85318862,-1.55590876,0.02874616,1
2012-03-12,16.48043824,16.57110023,16.42099787,16.57110023,407282400,0.01244995,0.03936952,0.03472586,0.01264903,0.77520376,76.30628223,0.61802709,0.64566079,-0.02763369,19.82501736,-1.36925921,0.02800531,1
2012-03-13,16.73741269,17.05682595,16.68367506,17.05442429,690855200,0.02874943,0.04704990,0.06893004,0.01422703,1.05057773,82.42630699,0.65253404,0.64703544,0.00549860,20.35344081,0.62255991,0.02782042,1
2012-03-14,17.35313300,17.85356748,17.27357825,17.69926453,1418844000,0.03711343,0.07831281,0.10523238,0.01727461,1.25819756,85.51877902,0.72357335,0.66234302,0.06123033,21.07310829,2.97674054,0.02894041,1
2012-03-15,18.00036512,18.01237344,17.36814210,17.57858276,1159718000,-0.00684181,0.05902104,0.07732151,0.01789992,1.01209383,81.25310705,0.76135805,0.68214603,0.07921202,20.87144271,2.27520614,0.02817199,1
2012-03-16,17.55335731,17.68784727,17.35162237,17.57887459,825487600,0.00001660,0.03028821,0.07148760,0.01795216,0.89341173,80.61206107,0.78230828,0.70217848,0.08012980,20.53148480,1.09259398,0.02771668,1
2012-03-19,17.96312545,18.06519291,17.68333816,18.04508018,901236000,0.02617521,0.01935000,0.08521285,0.01549518,1.03906774,81.71271701,0.82699727,0.72714224,0.09985504,20.61927771,1.40447831,0.03084360,1
2012-03-20,17.99735988,18.21920760,17.75629884,18.19099045,816662000,0.00805336,0.03424517,0.06451678,0.01435166,0.96833475,81.32146583,0.86422511,0.75455881,0.10966630,20.52073586,0.69368155,0.03606234,1
2012-03-21,18.09432887,18.30176826,18.05440319,18.08712387,644042000,-0.00572614,0.02850242,0.02167721,0.01511461,0.80708529,78.21652792,0.87525785,0.77869862,0.09655923,20.28327450,-0.30995121,0.04064945,1
2012-03-22,17.94542371,18.14716030,17.87787891,17.99225616,623870800,-0.00525884,-0.00293163,0.02326018,0.01577182,0.68034153,75.72186556,0.86635949,0.79623079,0.07012870,20.25145385,-0.47004046,0.04318626,1
2012-03-23,18.02678476,18.06611082,17.84396162,17.89349556,430488800,-0.00550418,-0.01648917,0.01773940,0.01650031,0.56674291,82.56846261,0.84163646,0.80531193,0.03632453,19.88043187,-2.27786662,0.04540109,1
2012-03-26,18.00576395,18.22671385,17.86977493,18.22160912,595742000,0.01817093,0.00740791,0.00973512,0.01673372,0.68006080,86.68014984,0.83884957,0.81201945,0.02683011,20.20531825,-0.80028513,0.04761004,1
2012-03-27,18.19759690,18.50079984,18.19399441,18.44676399,607129600,0.01228076,0.02494751,0.01396252,0.01538417,0.72026696,87.52358764,0.84506764,0.81862909,0.02643855,20.22425284,-0.69402422,0.04847917,1
2012-03-28,18.56383746,18.65600012,18.32157561,18.54102325,655460400,0.00509679,0.03554848,0.02478545,0.01144382,0.68898553,86.53985705,0.84782820,0.82446891,0.02335929,20.30084845,-0.10645504,0.04650062,1
2012-03-29,18.39572455,18.50920076,18.22911352,18.30806541,608238400,-0.01264405,0.00473349,0.01740024,0.01221229,0.51021947,79.92967373,0.82174564,0.82392426,-0.00217861,20.22607747,-0.29361949,0.04478531,1
2012-03-30,18.27534840,18.32908444,17.95023067,17.99856377,731038000,-0.01704973,-0.02459700,0.00585469,0.01391487,0.30766044,71.31346891,0.76725638,0.81259068,-0.04533430,20.40997600,0.44772074,0.04230202,1
