Date,open,high,low,close,volume,logret_1d,logret_3d,logret_5d,realized_vol_10,bb_pos,rsi_14,macd,macd_sig,macd_diff,log_vol,vol_z_20,sma_diff,target
2012-05-08,17.09886080,17.15649915,16.77314343,17.05683327,497252000,-0.00228518,-0.02372268,-0.02425544,0.03216434,-0.55106424,37.10833770,-0.15313042,-0.02277661,-0.13035381,20.02460750,-0.80994238,-0.00739261,1
2012-05-09,16.92233624,17.23094362,16.83677897,17.08684540,480704000,0.00175799,0.00692862,-0.02908901,0.01343736,-0.48888353,43.27981152,-0.17159708,-0.05254070,-0.11905638,19.99076225,-0.69421689,-0.00952468,1
2012-05-10,17.24895725,17.28798349,17.06463513,17.12707520,333200000,0.00235166,0.00182448,-0.01961303,0.01373347,-0.41979692,48.99791440,-0.18090053,-0.07821267,-0.10268786,19.62425347,-1.42437662,-0.01145808,0
2012-05-11,16.96137046,17.24566154,16.94185734,17.01270485,399546000,-0.00670015,-0.00259049,0.00258014,0.01372510,-0.48372578,48.00835852,-0.19525157,-0.10162045,-0.09363112,19.80583946,-0.96199535,-0.01441846,0
2012-05-14,16.88841544,17.03671419,16.73921566,16.75782776,352626400,-0.01509493,-0.01944341,-0.01997060,0.01094304,-0.67130358,49.15812571,-0.22460224,-0.12621681,-0.09838544,19.68091970,-1.41909365,-0.01699107,0
2012-05-15,16.85479145,16.90792626,16.56359533,16.60622406,476336000,-0.00908791,-0.03088299,-0.02677333,0.01102223,-0.74399517,13.41553397,-0.25713196,-0.15239984,-0.10473212,19.98163405,-0.23698800,-0.01719413,0
2012-05-16,16.63264746,16.71790495,16.24208518,16.39338684,560896000,-0.01289956,-0.03708240,-0.04143088,0.01043202,-0.85907677,12.63626445,-0.29666640,-0.18125315,-0.11541325,20.14504606,0.54833071,-0.01881045,0
2012-05-17,16.37027281,16.43601718,15.91426754,15.91426754,717220000,-0.02966198,-0.05164944,-0.07344452,0.01264847,-1.08067272,11.11803733,-0.36248020,-0.21749856,-0.14498164,20.39089319,1.75652929,-0.02292675,1
2012-05-18,16.02954451,16.31323434,15.67590818,15.92207241,732292400,0.00049031,-0.04207122,-0.06625406,0.01088223,-0.91963547,14.24739670,-0.40929028,-0.25585690,-0.15343338,20.41169045,1.85873597,-0.02539010,1
2012-05-21,16.04575607,16.85749951,16.03224551,16.84969330,631106000,0.05662611,0.02745444,0.00546698,0.02261055,-0.20195705,39.97687879,-0.36730232,-0.27814599,-0.08915633,20.26298439,1.12793043,-0.02593769,0
2012-05-22,17.09795382,17.22794187,16.58851408,16.72030258,694870400,-0.00770875,0.04940767,0.00684614,0.02269768,-0.29486880,36.11563186,-0.34054176,-0.29062514,-0.04991662,20.35923591,1.60095181,-0.02762156,1
